nct_id,intervention_seq,intervention_type,intervention_name,description
NCT03345771,2,DEVICE,Negative Pressure Wound Therapy (NPWT),PICO provides suction known as negative Pressure wound Therapy (NPWT) which draws out excess fluid from a wound and protects the injured area from getting dirty to ultimately help promote healing. PICO consists of an nPwT pump connected to an absorbent gentle adhesive dressing
NCT00623844,1,BEHAVIORAL,physical activity,"activity program at kindergarten 5 \* 30 min per week plus education of parents (letters, flyers, presentations, counselling) plus activity homework for children involving also the families"
NCT03419624,1,DRUG,Dapagliflozin 10mg,Dapagliflozin 10 mg tablet once daily
NCT03419624,2,DRUG,Exenatide 2 mg [Bydureon],Exenatide 2 mg injection once weekly
NCT03419624,3,DRUG,Placebo Oral Tablet,Placebo oral tablet once daily
NCT03419624,4,DRUG,Placebo injection,Placebo injection once weekly
NCT03419624,5,DRUG,Insulin,daily Insulin injections
NCT03419624,6,DRUG,"Metformin, if taken before","If the Patient has taken Metformin prior to enrollment, he or she will continue to take it."
NCT04520490,1,BEHAVIORAL,Family Based Behavioral Treatment,"Children with obesity accompanied by at least one parent or caregiver will attend 24 weekly sessions. Most sessions will be held via video-conference and include 25-30 min. meetings between an interventionist and each child/parent pair to individualize treatment, followed by separate child and parent group meetings lasting 40 - 45 min. A select few sessions will be held in-person between an interventionist and each child/parent pair with no group session. Parents will serve as primary agents of change for their child and for themselves. Training will focus on food and physical activity education, parenting around food and physical activity, and use of behavioral skills (e.g., self-monitoring, environmental control, contingency management). Intervention groups of 8-12 children/families will be initiated every 3-6 mos. in study yrs. 2-3."
NCT04520490,2,DRUG,Exenatide 2 mg [Bydureon],Weekly injections of active drug.
NCT04520490,3,DRUG,Placebo,Weekly placebo injections
NCT04221750,1,BEHAVIORAL,Lifestyle therapy,"Weight management program, in which participants are prescribed a balanced diet that provides and energy deficit of 500 to 750 kcal per day to induced \~10% weight loss plus Supervised combined aerobic and resistance exercise training three times weekly"
NCT04221750,2,DRUG,Metformin Hydrochloride,"Given orally starting at 500 mg (one tablet) taken orally once a day with meals. After a week, the dose of metformin will be increased to 1000 mg (two tablets) daily. After another week, the dose of metformin will be increased to 1500 mg (three tablets) daily."
NCT04221750,3,DRUG,Placebo,"Given orally starting at 500 mg (one tablet) taken orally once a day with meals. After a week, the dose of placebo will be increased to 1000 mg (two tablets) daily. After another week, the dose of placebo will be increased to 1500 mg (three tablets) daily."
NCT04221750,4,BEHAVIORAL,Healthy Lifestyle,"Group educational sessions that focus on healthy diet, exercise, and social support once a month"
NCT07075146,1,DRUG,DOR/3TC/TDF,It is a triple-drug antiretroviral drug co-formulated in a single tablet. It contains Doravirine/Lamivudine/Tenofovir Disoproxil Fumarate 100/300/300 mg
NCT07075146,2,DRUG,BIC/FTC/TAF,"It is a triple-drug antiretroviral drug co-formulated in a single tablet. It contains bictegravir 50 mg, tenofovir alafenamide 25 mg, and emtricitabine 200 mg. It is the standard therapy."
NCT00478972,1,DRUG,Rimonabant,"Tablet, oral administration"
NCT00478972,2,DRUG,placebo (for Rimonabant),"Tablet, oral administration"
NCT00478972,3,OTHER,Diet and exercise,Target daily caloric intake: Ideal body weight × 25 kcal
NCT07037459,1,DRUG,Maridebart cafraglutide,Maridebart cafraglutide will be administered SC.
NCT07037459,2,DRUG,Placebo,Placebo will be administered SC.
NCT00386061,1,DRUG,rimonabant (SR141716),
NCT04447313,1,OTHER,Survey Administration,Ancillary studies
NCT04447313,2,BEHAVIORAL,Telephone-Based Intervention,Receive ACT telephone coaching
NCT04447313,3,BEHAVIORAL,Telephone-Based Intervention,Receive SBT telephone coaching
NCT00029861,1,DRUG,Rimonabant (SR141716),
NCT05093634,1,DRUG,Setmelanotide,Subcutaneous Injection
NCT05093634,2,DRUG,Placebo,Subcutaneous Injection
NCT01627925,1,DEVICE,nasal mask and continuous positive airway pressure,nasal mask use instead of face mask application of continuous positive airway pressure during induction of general anesthesia
NCT07037433,1,DRUG,Maridebart Cafraglutide,Maridebart cafraglutide will be administered SC.
NCT07037433,2,DRUG,Placebo,Placebo will be administered SC.
NCT00764270,1,DIETARY_SUPPLEMENT,R-alpha lipoic acid,"300 mg R-alpha lipoic acid or placebo twice daily for 12 weeks, followed by a washout period of 12 weeks, followed by another treatment phase of the other treatment placebo or 300 mg R-alpha-lipoic acid for 12 weeks"
NCT00955903,1,BEHAVIORAL,Exercise,Participants will participate in supervised exercise sessions
NCT00955903,2,BEHAVIORAL,Reduced Calorie Diet,Participants will follow a reduced calorie diet
NCT00955903,3,BEHAVIORAL,Weight Maintenance Diet,Participants will follow a weight maintenance diet
NCT04678323,1,DRUG,Lifestyle Management,Participants in this group will receive lifestyle management.
NCT07503210,1,DRUG,NNC0487-0111,NNC0487-0111 will be administered subcutaneously.
NCT07503210,2,DRUG,Placebo (matched to NNC0487-0111),Placebo will be administered subcutaneously.
NCT01724983,1,DRUG,ketamine,
NCT01724983,2,DRUG,fentanyl,
NCT05887271,1,DRUG,Low calorie meal replacement plan,"Meal replacement diet containing \~850 kcal/day (40% protein, 50% carbohydrate, 10% fat) supplied by Counterweight® (www.counterweight.org).The meal replacement plan will comprise of 3-4 meal packs/day (to equate to 850 kcal) with sweet and savoury options, and an allowance of 100ml semi-skimmed milk or a non-dairy alternative."
NCT05887271,2,DIAGNOSTIC_TEST,Cardiovascular magnetic resonance (CMR) imaging and magnetic resonance spectroscopy,"CMR scanning performed on a 3T MRI scanner. Standardised protocol incorporating cine functional assessment to determine LV mass, systolic function and left atrial volumes; global systolic strain and diastolic strain rates will be assessed by tagging and with tissue tracking analysis from cine images, adenosine rest and stress myocardial perfusion to assess reserve index and qualitative perfusion defects, aortic distensibility to measure aortic stiffness, delayed contrast enhancement for assessment of LV fibrosis and evidence of previous myocardial infarction. Myocardial and liver triglyceride content will be assessed using the modified Hepafat® sequence or 1H MR spectroscopy at the inter ventricular septum. Additional imaging will be undertaken for quantification of visceral adiposity and subcutaneous adipose tissue. Cardiac 31P magnetic resonance spectroscopy imaging to assess cardiac muscle energetics according to a standardised operating procedure."
NCT05887271,3,DIAGNOSTIC_TEST,Transthoracic echocardiography,"Comprehensive transthoracic echocardiography, including: tissue Doppler indices of diastolic filling, exclusion of valvular abnormalities, assessment of LV size and function"
NCT05887271,4,DIAGNOSTIC_TEST,Blood test,Collection of blood samples from each participant to characterise the participant's health status and fibroinflammatory markers.
NCT05887271,5,DIAGNOSTIC_TEST,Electrocardiogram,An ECG will be obtained to assess for baseline rhythm.
NCT05887271,6,DIAGNOSTIC_TEST,Accelerometery,Accelerometer (GeneActiv) measured daily activity levels continuously for 7 consecutive days.
NCT05887271,7,DIAGNOSTIC_TEST,6 minute walk test (6MWT),Supervised 6MWT will be performed with symptom assessment using dyspnoea scale (Borg's).
NCT05887271,8,DIAGNOSTIC_TEST,Skeletal muscle strength using handgrip strength,Skeletal muscle strength will be measured using hand grip strength
NCT05887271,9,OTHER,Assessment of quality of life and heart failure symptoms,"Quality of life and HF symptoms will be assessed using the Kansas City Cardiomyopathy Questionnaire (KCCQ) questionnaire, which is used as a standardised measure of self-reported health status, and HF symptoms and is considered to have a good discriminatory power and validity"
NCT05887271,10,OTHER,Assessment of sarcopenia,"Participants will be assessed for presence of sarcopenia using the Strength, Assistance with walking, Rise from a chair, Climb stairs and Falls (SARC-F) questionnaire. It is a robust tool for diagnosis of sarcopenia and prediction poor physical function, with excellent specificity in multimorbid individuals."
NCT05887271,11,OTHER,Assessment of frailty,"Frailty will be assessed using the Edmonton Frail Scale (EFS). The EFS is a multidimensional frailty assessment which assesses multiple domains of frailty including functional independence, social support, cognition, medication use, and mood."
NCT05887271,12,OTHER,Qualitative interview,"Participants in the MRP and control groups will be invited to attend a focused semi-structured, 1-2-1 interview aimed to elicit barriers and enablers to the MRP and describe their perspective on the relationship between healthy eating and health interview during the 12-week visit. Participants who complete or drop out will be eligible. Inclusion of participants in the control arm will allow us to compare the experiences of MRP versus health coaching and detect any specific issues people face when trying to introduce lifestyle changes themselves."
NCT00975533,1,DEVICE,Tantalus,The TANTALUS System is implanted using minimally invasive procedure (laparoscopy). It uses leads with stitch electrodes to deliver electrical signals to the gastric wall for the treatment of obese subjects with T2DM.
NCT00975533,2,DRUG,Insulin,"Insulin treatment will be prescribed, in accordance with the common medical practice at the institute. Dosages will be recorded on a daily basis."
NCT01273584,1,DRUG,Metformin,Maximum dosage 500 mg 2 tablets 3 times a day (with each meal) start with 1 tablet twice a day and gradually titrate upwards to maximum dose
NCT01273584,2,DRUG,Placebo,Placebo maximum dosage 2 tablets 3 times a day ( with meals) start with 1 tablet twice a day and gradually titrate upwards to maximum dose
NCT01272232,1,DRUG,liraglutide,Liraglutide 3.0 mg for subcutaneous (under the skin) injection once daily for 56 weeks.
NCT01272232,2,DRUG,liraglutide,Liraglutide 1.8 mg for subcutaneous (under the skin) injection once daily for 56 weeks.
NCT01272232,3,DRUG,placebo,Liraglutide placebo of either 3.0 mg or 1.8 mg for subcutaneous (under the skin) injection once daily for 56 weeks.
NCT07220772,1,DRUG,Mibavademab,Administered as per the protocol
NCT06952712,1,DRUG,Aspirin 100mg,Aspirin 100mg qn was started from 12-16 weeks of gestation and discontinued from 36+0-36+6 weeks of gestation
NCT06952712,2,DRUG,Aspirin 150mg,Aspirin 150mg qn was started from 12-16 weeks of gestation and discontinued from 36+0-36+6 weeks of gestation
NCT00589498,1,DIETARY_SUPPLEMENT,1000 extra calories,"Each subject received 1000 kcal/d in addition to weight maintenance requirements. The diet composition throughout the study was 40% carbohydrate, 40% fat, and 20% protein."
NCT02342899,1,DEVICE,Outpatient NIV Set Up using AVAPS AE (Manufactured by Philips-Respironics),"Intervention set ups will follow a standard protocol for the automated device (A40 AVAPS-AE machine;Manufactured by Philips-Respironics, Murraysville, Pittsburgh, US) and patients will be discharged with the machine and a full face mask or nasal interface. Patients will then undergo a 1-2 night home oximetry study to ensure adequate control of overnight oxygenation. Patients will be reviewed clinically as an outpatient at 6 weeks and adherence to non-invasive ventilation will be evaluated and an arterial blood gas measurement will be undertaken. A full clinical review and optimisation of NIV and interface will be performed at this visit. Patients will be reviewed at 3 months as an inpatient where overnight transcutaneous carbon dioxide level and SpO2 studies will be performed. All other patient-centred, physician-centred and healthcare utilisation measurements will be assessed at baseline, 6 weeks and 3 months."
NCT02342899,2,DEVICE,Inpatient NIV Set Up using spontaneous/timed (S/T) mode pressure support ventilation (Manufactured by Philips-Respironics),"The patient will follow a specialist nurse-led protocolised set up of spontaneous/timed (S/T) mode pressure support ventilation (A40 AVAPS-AE machine; Manufactured by Philips-Respironics, Murraysville, Pittsburgh, US) using limited respiratory polygraphy, including overnight TcCO2 (Trascutaneous Carbon Dioxide) and SpO2 (Oxygen Saturation) studies. Following the inpatient set-up, patients will be reviewed as an outpatient at 6 weeks and adherence with non-invasive ventilation will be evaluated and arterial blood gas measurements will be performed. Patients will then be reviewed at 3 months as an inpatient where overnight respiratory polygraphy, TcCO2 and SpO2 studies will be repeated. All other patient-centred, physician-centred measurements and healthcare utilisation measurements will be assessed at baseline, 6 weeks and 3 months."
NCT02868177,1,DIETARY_SUPPLEMENT,Totum-63,"Each randomized subject will consume 8 capsules daily of either active (5200 mg of Totum-63) during 24 weeks (from visit V1 to visit V3). They will consume 3 capsules at the beginning of their breakfast, 2 capsules at the beginning of their lunch and 3 capsules at the beginning of their dinner."
NCT02868177,2,DIETARY_SUPPLEMENT,Placebo,"Each randomized subject will consume 8 capsules daily of placebo (5064 mg of maltodextrine) during 24 weeks (from visit V1 to visit V3). They will consume 3 capsules at the beginning of their breakfast, 2 capsules at the beginning of their lunch and 3 capsules at the beginning of their dinner."
NCT00000532,1,BEHAVIORAL,"diet, fat-restricted",
NCT00495599,1,PROCEDURE,Cytokines assessed from fat tissue,Cytokines assessed from fat tissue
NCT01905956,1,DIETARY_SUPPLEMENT,IQP-AK-102,"IQP-AK-102 was presented in the form of a capsule containing proprietary, patent pending combination of three soluble fibres and excipients."
NCT01905956,2,DIETARY_SUPPLEMENT,Placebo,"The placebo contained microcrystalline cellulose and other excepients. Both active and placebo capsules had identical physical appearance in terms of size, shape, colour and opacity."
NCT04800172,1,DRUG,Roflumilast,administration of roflumilast 500 mcg tablet once daily for 3 months.
NCT04800172,2,DRUG,placebo,administration of placebo tablet once daily for 3 months.
NCT00929812,1,DRUG,Glucagon hydrochloride (GlucaGen®),1 mg/1 ml of glucagon hydrochloride intramuscularly
NCT00929812,2,DRUG,NaCl 0.9%,1 ml NaCl 0.9% intramuscularly
NCT00989339,1,DRUG,Twenty-four Hour TPN and Saline Infusion,"Infusion of Intralipid 20%, ClinOleic 20% or normal saline at 20 ml/hr for 24 hr."
NCT00553787,1,DRUG,VI-0521,"phentermine 15 mg and topiramate 92 mg, po once daily"
NCT00553787,2,DRUG,VI-0521,"phentermine 7.5 mg and topiramate 46 mg, po once daily"
NCT00553787,3,DRUG,VI-0521,placebo
NCT05788965,1,DRUG,Semaglutide,glucagon-like peptide 1 (GLP-1) receptor agonist
NCT00679653,1,DRUG,sibutramine,"8-wks, sibutramine, 10 mg, capsules, once daily"
NCT00679653,2,DRUG,sibutramine,"8-wks, sibutramine, 15 mg, capsules, once daily"
NCT00679653,3,DRUG,verapamil/trandolapril,"2 wk Run-in phase, antihypertensive therapy only"
NCT00679653,4,DRUG,metoprolol/HCT,"2 wk Run-in phase, antihypertensive therapy only"
NCT00679653,5,DRUG,felodipine/ramipril,"2 wk Run-in phase, antihypertensive therapy only"
NCT07734311,1,DRUG,Ecnoglutide Injection,subcutaneous injection
NCT07734311,2,DRUG,placebo with matching volume,subcutaneous injection
NCT00449605,1,DRUG,Rimonabant,"Tablet, oral administration"
NCT00449605,2,DRUG,Glimepiride,"Tablet, oral administration"
NCT00449605,3,DRUG,Metformin,Metformin continued at stable dose as background therapy
NCT00678483,1,DRUG,rimonabant (SR141716),once daily
NCT05409612,1,BIOLOGICAL,Supemtek®,"Quadrivalent recombinant high-dose influenza vaccine containing 45 µg of hemagglutinin (HA) for each of the 4 strains included (2 strains A and 2 strains B).

Solution for injection is sterile liquid supplied in 0.5mL single dose pre-filled syringe. Vaccine is injected intra-muscularly in the non-dominant arm at Day 0."
NCT05409612,2,BIOLOGICAL,Vaxigriptetra®,Quadrivalent inactivated influenza vaccine containing 15 µg of hemagglutinin (HA) for each of the 4 strains included. Suspension for injection is sterile liquid supplied in 0.5mL single dose pre-filled syringe. Vaccine is injected intra-muscularly in the non-dominant arm at Day 0.
NCT02516475,1,DIETARY_SUPPLEMENT,zinc sulfate,1 zinc sulfate capsule for 15 weeks
NCT02516475,2,OTHER,corn starch,1 corn starch capsule for 15 weeks
NCT04525300,1,DRUG,Liraglutide,"Randomization was performed with the use of a computer-generated system provided by the sponsor. Eligible patients were randomly assigned, in a 2:1 ratio, to receive once-daily subcutaneous injections of liraglutide, starting at a dose of 0.6 mg with weekly 0.6-mg increments to 3.0 mg, or placebo; both groups received counseling on lifestyle modification"
NCT04525300,2,DRUG,placebo,"Randomization was performed with the use of a computer-generated system provided by the sponsor. Eligible patients were randomly assigned, in a 2:1 ratio, to receive once-daily subcutaneous injections of liraglutide, starting at a dose of 0.6 mg with weekly 0.6-mg increments to 3.0 mg, or placebo; both groups received counseling on lifestyle modification"
NCT06914895,1,DRUG,Tirzepatide,Administered SC
NCT06914895,2,DRUG,Placebo,Administered SC
NCT00520182,1,BEHAVIORAL,MUFA diet,"Patients were advised to consume 23 cal/kg/day. The diet contained sodium (up to 3000mg/day), potassium (more than 3000 mg/day), calcium (around 1300 mg/day) and magnesium (more than 800 mg/day). MUFA diet included only low glycemic index carbohydrates. The diet consisted of 35% carbohydrates and 45% fat (50% of them were mono-unsaturated fatty acids \[MUFA\]). Participants were advised to eat 4-6 meals per day according to their lifestyle and to participate in 30-45 min of aerobic activity at least 3 days a week."
NCT00520182,2,BEHAVIORAL,ADA 2003,"Patients were advised to consume 23 cal/kg/day. The diet contained sodium (up to 3000mg/day), potassium (more than 3000 mg/day), calcium (around 1300 mg/day) and magnesium (more than 800 mg/day). The carbohydrates are with mixed glycemic index. The diet contains 50-55% carbohydrates, 30% fat and 15-20% protein. Participants were advised to eat 4-6 meals per day according to their lifestyle and to participate in 30-45 min of aerobic activity at least 3 days a week."
NCT00520182,3,BEHAVIORAL,Low Glycemic index (LGI) diet,"Patients were advised to consume 23 cal/kg/day. The diet contained sodium (up to 3000mg/day), potassium (more than 3000 mg/day), calcium (around 1300 mg/day) and magnesium (more than 800 mg/day). LGI diet included only low glycemic index carbohydrates. The diet consisted of 50-55% carbohydrates, 30% fat and 20%. protein. Participants were advised to eat 4-6 meals per day according to their lifestyle and to participate in 30-45 min of aerobic activity at least 3 days a week."
NCT07284901,1,DRUG,Ribupatide,SC Injection
NCT07284901,2,DRUG,Placebo,SC Injection
NCT07567001,1,DRUG,NNC0487-0111,NNC0487-011 will be administered subcutaneously.
NCT07567001,2,DRUG,Placebo,Placebo (matched to NNC0487-011) will be administered subcutaneously.
NCT02367105,1,DRUG,Testosterone,Daily testosterone gel applied once daily in the morning to intact skin
NCT02367105,2,OTHER,Lifestyle Therapy,Weekly behavioral diet to induce \~10% weight loss in combination with supervised aerobic and exercise training three times a week
NCT02367105,3,DRUG,Placebo,Placebo gel for testosterone
NCT05394519,1,DRUG,Cagrilintide,"Cagrilintide administered subcutaneously (s.c., under the skin) once-weekly"
NCT05394519,2,DRUG,Semaglutide,"Semaglutide administered subcutaneously (s.c., under the skin) once-weekly"
NCT05394519,3,DRUG,Placebo cagrilintide,"Placebo cagrilintide administered subcutaneously (s.c., under the skin) once-weekly"
NCT05394519,4,DRUG,Placebo semaglutide,"Placebo semaglutide administered subcutaneously (s.c., under the skin) once-weekly"
NCT01934777,1,DRUG,Docosahexaenoic Acid plus Vitamin E plus choline,DHA 250 mg plus Vitamin E (39 UI) plus Choline 201 mg
NCT01934777,2,DRUG,placebo pearls,placebo
NCT05482672,1,DRUG,Fisetin,"Fisetin is a plant flavanol senolytic found in strawberries, persimmons, and cucumbers. This naturally derived senolytic has few side effects and previous animal models of both osteoarthritis and rheumatoid arthritis have demonstrated that the senolytic supplement fisetin reduces inflammation and slows cartilage breakdown."
NCT05482672,2,BEHAVIORAL,GetHealthy-OA mind-body program,"The GetHealthy-OA mind-body program emphasizes increased physical activity, healthy diet and sleep habits to lessen osteoarthritis and depressive symptoms"
NCT05482672,3,DRUG,Placebo oral capsule,The oral placebo will consist of corn starch and gelatin capsules
NCT05482672,4,BEHAVIORAL,Health education booklet,"The booklet will containing brief summarized information that reflects the active intervention topics including the trajectory of pain and recovery for those with knee osteoarthritis, the role of relaxation strategies to manage pain, and the importance of returning to engagement in activities of daily living"
NCT00478595,1,DRUG,Rimonabant,"Tablet, oral administration"
NCT00478595,2,DRUG,Placebo (for Rimonabant),"Tablet, oral administration"
NCT00478595,3,DRUG,Anti-diabetic monotherapy,Previous treatment with Sulfonylurea or α-glucosidase inhibitor continued at stable dose during the study period
NCT02157974,1,DRUG,Byetta 5Mcg Pen Injection,"10 participants will receive 2 doses of Byetta, one at 7 PM the night prior to metabolic study and the second 30 min before ingestion of glucola"
NCT01764113,1,BEHAVIORAL,Mindful Eating,Subjects and their parents will receive mindful eating based behavioral modification program over multiple sessions
NCT01764113,2,BEHAVIORAL,Standard dietary counselling,
NCT00383058,1,DRUG,the extract of green tea,
NCT02140697,1,DIETARY_SUPPLEMENT,Hippophae rhamnoides L. Leaf Extract (3g/day),"Hippophae rhamnoides L. Leaf extract (3g/day), parallel design"
NCT02140697,2,DIETARY_SUPPLEMENT,Placebo (3g/day),"Placebo (3g/day), parallel design"
NCT00131404,1,DRUG,taranabant,"taranabant 2 mg capsule, 4 mg capsule, 6 mg capsule once daily. 52 week treatment period."
NCT00131404,2,DRUG,Comparator: Placebo,Placebo capsule once daily. 52 week treatment period.
NCT07670884,1,DRUG,HRS9531 Tablet,HRS9531 tablet.
NCT07670884,2,DRUG,HRS9531 Tablet Placebo,HRS9531 tablet placebo.
NCT01334125,1,DRUG,Metformin,Metformin 1000 mg once daily by mouth for 9 months
NCT01334125,2,DRUG,Placebo,2 capsules once daily by mouth for 9 months
NCT01028976,1,DIETARY_SUPPLEMENT,Vitamin C (ascorbic acid),"1000 mg/day (two 500-mg tablets), 8 weeks"
NCT01028976,2,DIETARY_SUPPLEMENT,Placebo tablet,"Placebo tablet (two 500-mg tablets), 8 weeks"
NCT00872378,1,DRUG,Exenatide,Exenatide titrated up to 20mcg BID. (4 weeks at 5mcg BID; 4 weeks at 10mcg BID; 4 weeks at 15mcg BID; 37 weeks at 20mcg BID).
NCT00872378,2,DRUG,Placebo,Placebo titrated up to 20mcg BID. (4 weeks at 5mcg BID; 4 weeks at 10mcg BID; 4 weeks at 15mcg BID; 37 weeks at 20mcg BID).
NCT02410668,1,DIETARY_SUPPLEMENT,flaxseed,
NCT02410668,2,DIETARY_SUPPLEMENT,Placebo,
NCT02410668,3,BEHAVIORAL,Exercise recommendation,
NCT00210808,1,DRUG,topiramate,
NCT05872932,1,PROCEDURE,gastric balloon implantation,After diagnostic endoscopy if there is no any gastric pathology that would be contraindication for balloon placement a gastric balloon will be placed
NCT05872932,2,PROCEDURE,botulinum toxin A injection,"After diagnostic endoscopy if there is no any gastric pathology that would be contraindication Botox injection and balloon placement, 200 U of Botox A will be injected to antrum and fundus. And 1 week later gastric balloon will be implanted"
NCT06548100,1,DRUG,mibavademab,Administered by intravenous (IV) infusion followed by subcutaneous (SC) injection
NCT01109199,1,DIETARY_SUPPLEMENT,PolyGlycopleX (PGX),The full dose of the study intervention is 15 grams per day and total number of calories with the LCD is 1000 kcal/day.
NCT01109199,2,DIETARY_SUPPLEMENT,Rice flour,The full dose of the placebo comparator is 15 grams per day and total number of calories with the LCD is 1000 kcal/day.
NCT06125587,1,DRUG,Chiglitazar,"Chiglitazar is a novel PPAR agonist. Treatment of type 2 diabetes mellitus by moderate activation of PPARα, PPARγ and PPARδ, improving insulin sensitivity, regulating blood glucose, and promoting fatty acid oxidation and utilization."
NCT06125587,2,DRUG,Metformin,"Metformin is not only an antihyperglycemic drug, it also corrects insulin resistance and hyperandrogenism in polycystic ovary syndrome."
NCT02356016,1,BEHAVIORAL,WB-EMS Intervention,Supervised WB-EMS Intervention 18 min/session (one session/week) and monthly dietary counseling for 6 months
NCT02356016,2,BEHAVIORAL,WB-EMS-Intervention and dietary supplementation,Supervised WB-EMS Intervention and dietary supplementation and monthly dietary counseling for 6 months
NCT02356016,3,OTHER,control (dietary counseling),Monthly dietary counseling only
NCT02432209,1,OTHER,Caloric Restriction,Subjects on Active comparator will have Caloric Restriction to a 1200-1500 kcal/day diet through use of Nutrisystem Meal Plan.
NCT02432209,2,DRUG,Orlistat,"Subjects on Active comparator will use an over-the-counter weight loss medication, Orlistat, a gastric lipase inhibitor that limits gut fat absorption."
NCT02432209,3,OTHER,Moderate physical activity,"All subjects in both arms will be encouraged to engage in moderate physical activity with target of 10,000 steps a day."
NCT03651765,1,DRUG,Setmelanotide,Once daily subcutaneous injection
NCT01613664,1,DRUG,tisseel,"The product will be given as a 2 mL bottle per patient, which will be spread along the staple line. If necessary, a second bottle of 2 mL is used. The precautions for use are described in the user manual."
NCT01613664,2,OTHER,no tisseel,the surgeon does not applied tissucol during the surgery
NCT05869903,1,DRUG,Orforglipron,Administered orally.
NCT05869903,2,DRUG,Placebo,Administered orally.
NCT05620641,1,DRUG,Ondansetron 8mg,50 patients will receive intravenous ondansetron 8 mg before the end of surgery.
NCT05620641,2,DRUG,Gabapentin,50 patients will receive 600 mg oral gabapentin 1 h before anesthesia.
NCT00434096,1,DRUG,rimonabant (SR141716),oral administration once daily
NCT00434096,2,DRUG,placebo,oral administration once daily
NCT04074161,1,DRUG,Semaglutide,Dose gradually increased to 2.4 mg administered once weekly for 68 weeks
NCT04074161,2,DRUG,Placebo (semaglutide),Administered once weekly for 68 weeks
NCT04074161,3,DRUG,Liraglutide,Dose gradually increased to 3.0 mg administered once daily for 68 weeks
NCT04074161,4,DRUG,Placebo (liraglutide),Administered once daily for 68 weeks
NCT07225686,1,DRUG,Maridebart cafraglutide,Participants will receive maridebart cafraglutide as SC injections.
NCT07225686,2,DRUG,Placebo,Participants will receive placebo SC.
NCT04966741,1,DRUG,Setmelanotide,SC injection once daily.
NCT01402128,1,DIETARY_SUPPLEMENT,Barley beta-glucan(3.0g),Barley beta-glucan(3.0g/day) for 12 weeks
NCT01402128,2,DIETARY_SUPPLEMENT,Placebo,Placebo for 12 weeks
NCT00486941,1,BEHAVIORAL,Exercise and diet - based on DPS and DPP,
NCT01629394,1,DRUG,Sugammadex,Single dose of 2 mg/kg corrected body weight \[corrected body weight = ideal body weight + 40%(real body weight - ideal body weight)\]
NCT01629394,2,DRUG,Sugammadex,Single dose of sugammadex 2 mg/kg ( ideal body weight )
NCT01629394,3,DRUG,Neostigmine,Single dose of neostigmine 50 μg/kg corrected body weight \[corrected body weight = ideal body weight + 40%(real body weight - ideal body weight)\]
NCT01629394,4,DRUG,Neostigmine,Single dose of neostigmine 50 μg/kg ( ideal body weight )
NCT01629394,5,DRUG,Sugammadex,Single dose of 2 mg/kg corrected body weight \[corrected body weight = ideal body weight + 40%( real body weight - ideal body weight)\]
NCT01629394,6,DRUG,Sugammadex,Single dose of sugammadex 2 mg/kg ( ideal body weight )
NCT01629394,7,DRUG,Neostigmine,Single dose of neostigmine 50 μg/kg corrected body weight \[corrected body weight = ideal body weight + 40%(real body weight - ideal body weight)\]
NCT01629394,8,DRUG,Neostigmine,Single dose of neostigmine 50μg/kg ( ideal body weight )
