stratum,nct_id,brief_title,intervention_types,minimum_age,maximum_age,rule_included,rule_exclusion_reasons,rule_review_flags,manual_label,reviewer_rationale
included_clean,NCT04788511,Research Study to Investigate How Well Semaglutide Works in People Living With Heart Failure and Obesity,DRUG,18 Years,,True,,,,
included_clean,NCT07709910,A Trial of Ribupatide Injection in Participants With Obesity and Knee Osteoarthritis,DRUG,18 Years,,True,,,,
included_clean,NCT06948435,A Master Protocol Study of Orforglipron (LY3502970) in Participants With Hypertension and Obesity or Overweight (ATTAIN-Hypertension) GZL1,DRUG,18 Years,,True,,,,
included_review,NCT07668401,AMAZE 13: A Research Study Investigating How Well the Medicine Zenagamtide Helps People in Asia With Excess Body Weight Lose Weight,DRUG,18 Years,,True,,DIABETES_IN_ELIGIBILITY_ONLY,,
included_review,NCT07285902,A Study Comparing the Efficacy and Safety of HRS9531 Injection With Semaglutide Injection in Subjects With Obesity,DRUG,18 Years,,True,,DIABETES_IN_ELIGIBILITY_ONLY,,
included_review,NCT06704581,A Study of BGM0504 Injection in Participants with Obesity or Overweight,DRUG,18 Years,65 Years,True,,DIABETES_IN_ELIGIBILITY_ONLY,,
included_review,NCT07220642,Weight Loss in People Living With Overweight or Obesity Following Treatment With Cagrilintide,DRUG,18 Years,,True,,DIABETES_IN_ELIGIBILITY_ONLY,,
included_review,NCT07255209,A Study of IBI362 in Chinese Adolescents With Obesity or Overweight,DRUG,12 Years,18 Years,True,,INCLUDES_MINORS_AND_ADULTS;DIABETES_IN_ELIGIBILITY_ONLY,,
included_review,NCT04885634,Semaglutide for the Reduction of Arrhythmia Burden in Overweight AF Patients,DRUG,18 Years,,True,,MISSING_LOCATIONS;DIABETES_IN_ELIGIBILITY_ONLY,,
included_review,NCT05209984,"A Phase 3, Double-blind/Double-dummy, Safety/Efficacy/Superiority of Sibutramine/Topiramate XR in Adults With Overweight",DRUG,18 Years,60 Years,True,,DIABETES_IN_ELIGIBILITY_ONLY,,
included_review,NCT07153471,A Study of Orforglipron (LY3502970) in Participants With Obesity or Overweight and Osteoarthritis (OA) of the Knee,DRUG,18 Years,,True,,DIABETES_IN_ELIGIBILITY_ONLY,,
included_review,NCT07220772,"A Study Evaluating Mibavademab Treatment of Obesity Due to Leptin (LEP) Gene Mutations in Children, Adolescents and Adults",DRUG,2 Years,,True,,INCLUDES_MINORS_AND_ADULTS,,
included_review,NCT04998136,Research Study Investigating How Well Semaglutide Works in People From Thailand and South Korea Living With Obesity,DRUG,18 Years,,True,,DIABETES_IN_ELIGIBILITY_ONLY,,
included_review,NCT01764386,Method-of-Use Study Assessing the Effect of Naltrexone Sustained Release (SR)/ Bupropion SR on Body Weight and Cardiovascular Risk Factors in Overweight and Obese Subjects,BEHAVIORAL;DRUG,18 Years,60 Years,True,,DIABETES_IN_ELIGIBILITY_ONLY,,
included_review,NCT06041217,A Research Study to See How Well Semaglutide Helps People Who Have a Body Weight Above the Healthy Weight Range,DRUG,18 Years,,True,,DIABETES_IN_ELIGIBILITY_ONLY,,
included_review,NCT06885021,Evaluate the Safety and Efficacy of HDM1002 Tablets in Chinese Overweight and Obese Adults,DRUG,18 Years,,True,,MISSING_LOCATIONS;DIABETES_IN_ELIGIBILITY_ONLY,,
included_review,NCT04660643,A Study of Tirzepatide (LY3298176) in Participants With Obesity or Overweight for the Maintenance of Weight Loss,DRUG;OTHER,18 Years,,True,,DIABETES_IN_ELIGIBILITY_ONLY,,
included_review,NCT05024032,A Study of Tirzepatide (LY3298176) in Chinese Participants Without Type 2 Diabetes Who Have Obesity or Overweight (SURMOUNT-CN),DRUG,18 Years,,True,,DIABETES_IN_ELIGIBILITY_ONLY,,
included_review,NCT05607680,A Study of IBI362 in Participants With Obesity or Overweight,DRUG,18 Years,,True,,DIABETES_IN_ELIGIBILITY_ONLY,,
included_review,NCT05869903,A Study of Orforglipron (LY3502970) in Adult Participants With Obesity or Overweight With Weight-Related Comorbidities,DRUG,18 Years,,True,,DIABETES_IN_ELIGIBILITY_ONLY,,
included_review,NCT06987695,Efficacy and Safety of Maridebart Cafraglutide in Adult Participants in Japan Who Have Obesity Disease,DRUG,18 Years,99 Years,True,,DIABETES_IN_ELIGIBILITY_ONLY,,
included_review,NCT07232719,A Study of Retatrutide (LY3437943) in Participants With Obesity or Overweight,DRUG,18 Years,,True,,DIABETES_IN_ELIGIBILITY_ONLY,,
included_review,NCT05194124,Phase 3 Crossover Trial of Two Formulations of Setmelanotide in Participants With Specific Gene Defects in the MC4R Pathway,DRUG,6 Years,,True,,INCLUDES_MINORS_AND_ADULTS,,
included_review,NCT05931367,A Study of Retatrutide (LY3437943) Once Weekly in Participants Who Have Obesity or Overweight and Osteoarthritis of the Knee,DRUG,18 Years,,True,,DIABETES_IN_ELIGIBILITY_ONLY,,
included_review,NCT07528027,Phase III Study of HRS-7535 for Hypertension With Overweight or Obesity,DRUG,18 Years,70 Years,True,,DIABETES_IN_ELIGIBILITY_ONLY,,
included_review,NCT04741074,Effect of Subcutaneous Semaglutide on Kidney Transplant Candidacy,DRUG,18 Years,,True,,DIABETES_IN_ELIGIBILITY_ONLY,,
included_review,NCT06937060,Effect of Semaglutide in Patients With Psoriasis and Obesity,BIOLOGICAL,18 Years,75 Years,True,,DIABETES_IN_ELIGIBILITY_ONLY,,
included_review,NCT06499857,Semaglutide for Metabolic Intervention and Adipose Loss to Treat Atrial Fibrillation,DRUG,18 Years,75 Years,True,,DIABETES_IN_ELIGIBILITY_ONLY,,
excluded,NCT00454610,Family Lifestyle Overweight Prevention Program,BEHAVIORAL,10 Years,16 Years,False,NO_DRUG_OR_BIOLOGICAL;EXCLUSIVELY_PEDIATRIC;OUTSIDE_RECENCY_WINDOW;NON_PHARMACOLOGICAL_PRIMARY_INTENT,MISSING_LOCATIONS,,
excluded,NCT00029848,Obese Patients With Type 2 Diabetes,DRUG,18 Years,70 Years,False,OUTSIDE_RECENCY_WINDOW;DIABETES_PRIMARY_OVERLAP;NO_OBESITY_TREATMENT_INTENT,,,
excluded,NCT07734311,A Study of Econoglutide Injection in Obese Participants With Knee Osteoarthritis (KOA),DRUG,18 Years,75 Years,False,NO_OBESITY_TREATMENT_INTENT,DIABETES_IN_ELIGIBILITY_ONLY,,
excluded,NCT03047005,Behavioral and Pharmacologic Treatment of Binge Eating and Obesity: Maintenance Therapy,DRUG;OTHER,18 Years,70 Years,False,NON_PHARMACOLOGICAL_PRIMARY_INTENT,,,
excluded,NCT06439277,A Study of Tirzepatide in Adolescents With Obesity and Weight-Related Comorbidities (SURMOUNT-ADOLESCENTS-2),DRUG,12 Years,17 Years,False,EXCLUSIVELY_PEDIATRIC,DIABETES_IN_ELIGIBILITY_ONLY,,
excluded,NCT04102189,A Research Study on How Well Semaglutide Works in Adolescents With Overweight or Obesity,DRUG;OTHER,12 Years,17 Years,False,EXCLUSIVELY_PEDIATRIC,DIABETES_IN_ELIGIBILITY_ONLY,,
excluded,NCT00474630,A Safety and Efficacy Study Comparing Naltrexone SR/Bupropion SR and Placebo in Obese Subjects With Type 2 Diabetes,BEHAVIORAL;DRUG,18 Years,70 Years,False,OUTSIDE_RECENCY_WINDOW;DIABETES_PRIMARY_OVERLAP,,,
excluded,NCT00000532,Women's Healthy Lifestyle Project: Cardiovascular Risk Factors and Menopause,BEHAVIORAL,45 Years,50 Years,False,NO_DRUG_OR_BIOLOGICAL;OUTSIDE_RECENCY_WINDOW;NO_OBESITY_TREATMENT_INTENT;NON_PHARMACOLOGICAL_PRIMARY_INTENT,MISSING_LOCATIONS,,
excluded,NCT01794429,Treatment of Antipsychotic-associated Obesity With a GLP-1 Analogue,DRUG,18 Years,65 Years,False,NO_OBESITY_TREATMENT_INTENT,DIABETES_IN_ELIGIBILITY_ONLY,,
excluded,NCT01043718,Delivering an Evidence-Based Lifestyle Intervention Via the Internet: A Randomized Controlled Study,BEHAVIORAL,18 Years,80 Years,False,NO_DRUG_OR_BIOLOGICAL;NO_OBESITY_TREATMENT_INTENT;NON_PHARMACOLOGICAL_PRIMARY_INTENT,,,
excluded,NCT00131391,A Study of MK0364 in Obese Patients (0364-014),DRUG,18 Years,,False,OUTSIDE_RECENCY_WINDOW,MISSING_LOCATIONS,,
excluded,NCT01028976,"Obesity, Inflammation and Oxidative Stress",DIETARY_SUPPLEMENT,18 Years,,False,NO_DRUG_OR_BIOLOGICAL;NO_OBESITY_TREATMENT_INTENT,,,
excluded,NCT00234832,A Long Term Study of Sibutramine and the Role of Obesity Management in Relation to Cardiovascular Disease in Overweight and Obese Patients,DRUG,55 Years,,False,OUTSIDE_RECENCY_WINDOW,DIABETES_IN_ELIGIBILITY_ONLY,,
excluded,NCT00393172,"Women in Steady Exercise Research [Formerly Women, Oxidative Stress, Exercise and Estrogens (WOSEE)]",BEHAVIORAL,18 Years,30 Years,False,NO_DRUG_OR_BIOLOGICAL;OUTSIDE_RECENCY_WINDOW;NO_OBESITY_TREATMENT_INTENT;NON_PHARMACOLOGICAL_PRIMARY_INTENT,,,
excluded,NCT02116517,Effects of Green Tea Extract on Obese Women With High Level of LDL,DIETARY_SUPPLEMENT,18 Years,65 Years,False,NO_DRUG_OR_BIOLOGICAL;NO_OBESITY_TREATMENT_INTENT,,,
excluded,NCT00231621,A Study on Efficacy and Safety of Topiramate in Treatment of Obese Subjects With Dyslipidemia,DRUG,18 Years,75 Years,False,OUTSIDE_RECENCY_WINDOW,MISSING_LOCATIONS,,
excluded,NCT02036138,The Efficacy of Bariatric Surgery Compared to Medical Therapy in Controlling Type2 Diabetes Mellitus in Patients With Non Morbid Obesity.,DRUG;PROCEDURE,18 Years,70 Years,False,DIABETES_PRIMARY_OVERLAP;OFF_TARGET_THERAPEUTIC_INTENT;NO_OBESITY_TREATMENT_INTENT;NON_PHARMACOLOGICAL_PRIMARY_INTENT,,,
excluded,NCT02213159,Dexmedetomidine for Postoperative Analgesia After Bariatric Surgery,DRUG,18 Years,70 Years,False,OFF_TARGET_THERAPEUTIC_INTENT;NO_OBESITY_TREATMENT_INTENT;NON_PHARMACOLOGICAL_PRIMARY_INTENT,DIABETES_IN_ELIGIBILITY_ONLY,,
excluded,NCT04800172,The Possible Effects of Roflumilast on Obesity Related Disorders,DRUG,25 Years,65 Years,False,NO_OBESITY_TREATMENT_INTENT,,,
excluded,NCT01499485,Treatment of Metabolic Alkalosis With Acetazolamide. Effect on the Length of Mechanical Ventilation.,DRUG,18 Years,,False,NO_OBESITY_TREATMENT_INTENT,,,
excluded,NCT01358890,Low-Carbohydrate Diet Intervention on Body Weight,OTHER,30 Years,65 Years,False,NO_DRUG_OR_BIOLOGICAL;NO_OBESITY_TREATMENT_INTENT;NON_PHARMACOLOGICAL_PRIMARY_INTENT,,,
excluded,NCT05816798,Photobiomodulation in Chronic Knee Pain in Patients Who Are in PreRehabilitation for Bariatric Surgery,DEVICE;OTHER,18 Years,70 Years,False,NO_DRUG_OR_BIOLOGICAL;OFF_TARGET_THERAPEUTIC_INTENT;NO_OBESITY_TREATMENT_INTENT;NON_PHARMACOLOGICAL_PRIMARY_INTENT,,,
excluded,NCT05298085,Effect of Intranasal Oxytocin on Dysphagia in Children and Adolescents With Prader-Willi Syndrome,DRUG,2 Years,17 Years,False,EXCLUSIVELY_PEDIATRIC;NO_OBESITY_TREATMENT_INTENT,,,
excluded,NCT05887271,"A Randomised, Controlled Trial of a Low-energy Diet for Improving Functional Status in Heart Failure With PRESERVED Ejection Fraction Preserved Ejection Fraction",DIAGNOSTIC_TEST;DRUG;OTHER,18 Years,,False,NO_OBESITY_TREATMENT_INTENT;NON_PHARMACOLOGICAL_PRIMARY_INTENT,DIABETES_IN_ELIGIBILITY_ONLY,,
excluded,NCT02342899,Cost Effectiveness of Outpatient Set-up of Automated NIV in Obese Patients With Chronic Respiratory Failure,DEVICE,18 Years,,False,NO_DRUG_OR_BIOLOGICAL;NO_OBESITY_TREATMENT_INTENT,,,
